id,editor,starring,title,writer
238,,Tangi Miller Warwick Davis,,Mark Jones (screenwriter)
239,,Brad Johnson Kelly Ann McGillis,Supergator,Brian Clyde
240,,Mary Jeanette Robinson Dorothy Jordan (actress) Lionel Herbert Blythe,One Man's Journey,Katharine Havilland-Taylor Lester Cohen
241,,"Punya Heendeniya
Henry Jayasena
Trelicia Gunawardena
Wickrema Bogoda",Kaliyugaya,A.J. Gunawardena
242,,"Yamila Greco
 Eduardo Poli
 Andrea Alfonso
 Rodrigo Bianco
 Silvia Paz
 Salvador Haidar",,Mariano Peralta
243,,,,David Keller Michael Sauter
244,,Hümeyra ?erif Sezer Çetin Tekindor Ege Tanman Fikret Ku?kan,,Ça?an Irmak
245,,Sarah Ward John Moulder-Brown Lynne Frederick Anthony Higgins (actor) Robin Sachs Adrienne Riccoboni,Vampire Circus,Judson Kinberg
246,,,The Coastline,
247,,Guy Bridges Kibbee Reginald Gardiner Allyn Joslyn Gladys Smith Benjamin Kubelsky Dolores Moran,,
248,,Mumtaz (actress) Jeetendra,,
249,,William Davis Garwood Jr. Charlotte Burton,,
250,,Wallace Fitzgerald Beery,,
251,,Brent Huff Isabelle Breitman Jean Rougerie Bernadette Lafont Tawny Kitaen,Gwendoline,Just Jaeckin John Willie
252,,"Hobart Bosworth
Betty Harte",,Robert Louis Stevenson Luella Forepaugh George F. Fish
253,,Colin James Farrell Mary Elizabeth Spacek Robin Gayle Wright Dallas Roberts,A Home at the End of the World,Michael Cunningham
254,,Ethel Agnes Zimmermann Donald David Dixon Ronald Ou2019Connor Norma Jeane Mortenson,,"Lamar Trotti (story)
Phoebe Ephron
Henry Ephron"
255,,"Othon Bastos
 Mauru00EDcio do Valle",,
256,,Chaaru Haasan Nalini Murthy R. Nagesh,,Poornachandra Tejaswi
257,,,The Mirror,
258,,Aldo DaRe Jim Backus Charles Dennis Buchinsky Spencer Bonaventure Tracy Katharine Hepburn Sammy White,Pat and Mike,Garson Kanin Ruth Gordon Jones
259,,Patrick Goyette Lothaire Bluteau,Genie Award for Best Motion Picture,Robert Lepage
260,,Vijaya Khote Manohar Singh Om Puri Rohini Oak Naseeruddin Shah,Party,Govind Nihalani Mahesh Elkunchwar
261,,"Kurt Vogel Russell Joe Flynn William Schallert Alan Hewitt Cesar Julio Romero, Jr.",The Computer Wore Tennis Shoes,Joseph L. McEveety
262,,Jeff Daniels (actor) Betty Lynn Buckley,Rain Without Thunder,Gary Bennet
263,,Roscoe Arbuckle Mabel Normand,Mabel and Fatty's Married Life,
264,,Gustav Knuth Vilma Degischer Josef Meinrad Magda Schneider Rosemarie Magdalena Albach-Retty Karlheinz Böhm,Sissi - Die junge Kaiserin,Ernst Marischka
265,,Wolf Muser Frida Show Rhett Giles Nick Mancuso Brewier Welch,Contract Killers,Justin B. Rhodes Ric Moxley
266,,Eric Lidberg Shannon Summers Sharyn Kinzie Dee Duffy Del 'Sonny' West Ross Hagen Tony Lorea,,Tony Huston
267,,David Wheeler Paul Bettany Malcolm John Taylor,Gangster No. 1,Johnny Ferguson
268,,Thomas Hayden Church Leslie Mann Holland Taylor John Marwood Cleese Brendan Fraser,George of the Jungle,Dana Olsen Audrey Wells
269,,Imelda Mary Philomena Bernadette Staunton Scott Glenn Patrick Galen Dempsey Hilary Ann Swank,Freedom Writers,Erin Gruwell Richard LaGravenese The Freedom Writers Diary
270,,Julie Depardieu Jérémy Sanguinetti Sébastien Roch,,Etienne Faure
271,,Akkineni Nagarjuna Rao Gadde Rajendra Prasad Raveena Tandon,Akasa Veedhilo,Singeetam Srinivasa Rao
272,,The Snow Queen (1957 film)#Voices,,Bob Fisher Lev Atamanov Nikolay Zabolotskiy Alan Lipscott Nikolai Erdman Georgiy Grebner Hans Christian Andersen
273,,Ronald Francis Perlman Selma Blair Beitner Doug Jones Periwinkle Kay O'Brien,,Mike Mignola Tad Stones
274,,Billy Connolly Anna Louise Friel Brían F. O'Byrne Barry McEvoy,An Everlasting Piece,Barry McEvoy
275,,"Nandamuri Bala Krishna, Tabu, Shriya, Chalapathi Rao, Devayani, Jayaprakash Reddy",,Ratnam
276,,,Mon beau-fru00E8re a tuu00E9 ma soeur,Jacques Rouffio Georges Conchon
277,,Sacha Noam Baron Cohen 1987,,Sacha Noam Baron Cohen 1987
278,,"Levardis Robert Martyn Burton, Jr. Ned Thomas Beatty Todd Jones Randall Rudy Quaid Powers Boothe Colleen Dewhurst Veronica Cartwright",Guyana Tragedy: The Story of Jim Jones,Ernest Tidyman Charles A. Krause
279,,Elina Salo Pentti Siimes Matti Ranin Leo Jokela Joel Rinne,,Mika Waltari Kaarlo Nuorvala
280,,Terry Carter Carol Speed Austin Stoker William Marshall,Abby,G. Cornell Layne
281,,Anthony Marcus Shalhoub Jason Nelson Robards Jr. Virginia Elizabeth Davis Randall Rudy Quaid Philip Bosco William James Murray,Quick Change,Jay Cronley Howard Franklin
282,,Mid-Missourri Ballers Troy McCray Kadour Ziani MyRee Bowden Mr. Biz Taking Flight Slam Nation S1Sf,,Azur Allen
283,,Gilles Maheu Lynne Adams (Canadian actress) Roger Lebel,Genie Award for Best Motion Picture,Jean-Claude Lauzon
284,,Stephen Glenn Martin Richard Libertini Victoria Tennant Mary Jean Tomlin Madolyn Smith,All of Me,Edwin Davis (writer) Phil Alden Robinson Henry Olek
285,,Robin Tunney Christopher Eugene O'Donnell Scott Glenn William Paxton Izabella Dorota Scorupco,Vertical Limit,Terry Hayes Robert King
286,,David James Arquette DMX (rapper),Never Die Alone,James Gibson (writer)
287,,Bryce Dallas Howard Chris Evans Ann-Margret Olsson Edna Rae Gillooly,,Tennessee Williams
288,,Stepan Shagaida Stepan Shkurat Yevgeniya Melnikova Yelena Maksimova Sergei Stolyarov Vladimir Uralsky Boris Dobronravov,,Alexander Dovzhenko
289,,Richard Boone,The Bushido Blade,
290,,Rafe Joseph Spall David Suchet Marc Warren Sophia Myles Stephanie Leonidas Tom Burke (actor),,Stewart Harcourt
291,,Pichet Pumhem u0E40u0E1Eu0E0Au0E23u0E32 u0E40u0E0Au0E32u0E27u0E23u0E32u0E29u0E0Eu0E23u0E4C,,
292,,Sharman Joshi Shilpa Shetty Kay Kay Menon Kangana Ranaut Irfan Khan Konkona Sen Sharma Shiney Ahuja,Metro,Anurag Basu
293,,Stephen Dorff Jr. Dennis William Quaid Sharon Vonne Stone,Cold Creek Manor,Richard Jeffries
294,,James Stewart (actor),,Owen Crump
295,,Laura Morante Cécile de France Valérie Lemercier Albert Dupontel,,Christopher Thompson
296,,,,Pao Lei
297,,Ingvar E. Sigurðsson Ágústa Eva Erlendsdóttir Atli Rafn Sigurðsson Björn Hlyndur Haraldsson Ólafía Hrönn Jónsdóttir,,Arnaldur Indriðason
298,,Michelle Williams (actor) Michael Showalter Elizabeth Maresal Mitchell,The Baxter,Michael Showalter
299,,Caroline Langrishe Therese Liotard Eva Maria Mbinere Vadim Glowna Rosemarie Magdalena Albach-Retty William Russel Max Carl Adolf von Sydow Harry Dean Stanton Harvey Keitel Bernhard Wicki,,David Rayfiel
300,,Laura Linney Lucinda Jenney Will Patton Debra Lynn Messing Bill Laing Richard Tiffany Gere Alan Arthur Bates,The Mothman Prophecies,Lewis Klahr Alison Cross Richard Hatem Ernest Marrero Becky Johnston
301,,Wojciech Pszoniak Ewa Dalkowska,Korczak,Agnieszka Holland
302,,,Dirty Hands,Cetywa Powell
303,,Sean Patrick Duke Michael Robert Deluise Megan Marie Ward Robin Tunney Brendan Fraser Paul Montgomery Shore,Encino Man,"George Zaloom
Shawn Schepps"
304,,Kurt Raab El Hedi ben Salem Peter Chatel Rainer Werner Fassbinder Karlheinz Böhm,Faustrecht der Freiheit,Rainer Werner Fassbinder Christian Hohoff
305,,D. J. Williams Marjorie Taylor Graham Soutten Eric Harrison Portman,The Crimes of Stephen Hawke,Jack Celestin Paul White Frederick Hayward Tod Slaughter H. F. Maltby
306,,"Petra Nielsen, Grete Havnesku00F6ld, Jonas Karlstru00F6m & Emma u00C5berg",Frostbiten,Daniel Ojanlatva & Pidde Andersson
307,,Peter Riegert Robert Martin Culp Diane Lane Robby Benson Richard Windmark,National Lampoon Goes the the Movies,Gerald Sussman
308,,William Davis Garwood Jr.,,
309,,Phylbert Angellie Ranollo Fagestrom John Lloyd Cruz Heart Evangelista John Prats,,
310,,Leslie Townes Hope Lucille Du00E9siru00E9e Ball,The Facts of Life,Melvin Frank Norman Panama
311,,Roger Meddows-Taylor Paul Rodgers Brian May,,
312,,Bruce Jones,Raining Stones Jury Prize (Cannes Film Festival),Jim Allen
313,,Cone McCaslin Steve Jocz Deryck Whibley Dave Baksh,,
314,,Henry Jaynes Fonda Sophia Kosow,You Only Live Once,Gene Towne C. Graham Baker
315,,Eduardo Noriega Eric Caravaca Nathalie Richard Leny Bueno Paz Campos Trigo Agathe Dronne Julie Gayet,,Christophe Honore
316,,Theodor Friedrich Emil Janenz,,Carl Mayer
317,,John Stephen Goodman William Jacob Crystal,,Roger Gould Jeff Pidgeon Rob Gibbs Pete Docter
318,,Kalyan Ram Sindu Tolani Ashish Vidyarthi,Athanokkade,Surender Reddy
319,,Soha Ali Khan Abhay Singh Deol Shayan Munshi,,Imtiaz Ali
320,,Mukesh Khanna,,
321,,Turhan Bey William Henry Pratt Susanna Foster,,Curt Siodmak Edward Locke
322,,Arthur Stanley Jefferson Suzy Delair Oliver Hardy,Atoll K,"John D. Klorer
Frederick Kohner
Piero Tellini
Renu00E9 Wheeler"
323,,Judy Davis Richard Widmark Lewis Collins,The Final Option Who Dares Wins,Reginald Rose
324,,Monica Bellucci,,Carl Austin
325,,Haidar Khan Merian C. Cooper Marguerite Harrison Ernest B. Schoedsack,,Terry Ramsaye
326,,Jonathan Joseph Heder Amy Poehler Romany Malco Regina Marie Fischer Rob Corddry John William Ferrell William Emerson Arnett William Daniels Craig Richard Nelson Nicholas Roger Swardson William Edward Fichtner,Blades of Glory,Jeff Cox Elizabeth Jean Philipps
327,,Isabella Fiorella Elettra Giovanna Rossellini Thomas Edward Hulce John Michael Turturro Benicio Monserrate Rafael del Toro Su00E1nchez Rosa Maru00EDa Pu00E9rez Jeffrey Leon Bridges,Fearless,Rafael Yglesias
328,,Esha Deol Fardeen Khan Isha Koppikar,Darling,Kusum Punjabi Prawal Raman
329,,Elliott Goldstein Eddie Izzard Matthew Paige Damon Bernard Jeffrey McCullough Andy Garcia George Timothy Clooney Scott Caan William Bradley Pitt Donald Frank Cheadle Alfredo James Pacino Caleb Casey Affleck Ellen Rona Barkin,Ocean's Thirteen,Brian Koppelman
330,,Theodor Friedrich Emil Janenz Hanna Ralph Käthe Haack John Gottowt,,Fridel Köhne Hans Brennert
331,,Esther Ralston Clara Gordon Bow Frank James Cooper,Children of Divorce,Owen Johnson
332,,Christopher Reeve Morgan Freeman Miriam Spickler Katherine Whitton Baker,Street Smart,David Freeman
333,,Terrance Quinn Rutger Oelsen Hauer Brandon Spencer Lee Call,,Charles Robert Carner
334,,Allari Naresh,,"Varaprasad varma
EVV Satyanarayana"
335,,David Bowie Takeshi Kitano Ryuichi Sakamoto Thomas Conti,"Merry Christmas, Mr. Lawrence",Paul Mayersberg Laurens van der Post Nagisa Oshima
336,,Teri Garr Laura Miller Dedee Pfeiffer Eric Close Howard Hesseman,The Sky is Falling,Florrie Laurence
337,,Fernando Guillén Álex Angulo Antonio Resines,Acciu00F3n mutante,Jorge Guerricaechevarría Álex de la Iglesia
338,,Masahiro Motoki Zhao Wei,The Longest Night in Shanghai,Yuji Yamamura
339,,Liubomiras Laucevi?ius Robertas Urbonas Leslie Steven Berks Saulius Mykolaitis Rolandas Boravskis Valentinas Masalskis Šar?nas Puidokas Monika Bi?i?nait?,,Algimantas Puipa
340,,Joel Solomon Cohen Francis Alick Howard Charles Hawtrey,,Talbot Rothwell
341,,Shannon Bruce Snaith Mandy Moore,A Walk to Remember,Nicholas Sparks (author) Karen Janszen
342,,Michael Denison Dulcie Gray,The Glass Mountain,Emery Bonnet
343,,KRS-One Jimmy Wales Brewster Kahle Lawrence Lessig Ward Cunningham,Truth in Numbers: The Wikipedia Story,
344,,Justin Jake Long Callie Thorne Sam Rockwell,Robin's Big Date,Will Carlough
345,,Peter Fitz Otto Sander Elke Schletz,,"Christian Rateuke
Hartmann Schmige"
346,,"James William Van Der Beek, Jr. Mark Anthony McDermott Usher Raymond Christopher Ashton Kutcher",Texas Rangers,Scott Busby Martin Copeland George Durham
347,,Sanjay Khan Danny Denzongpa Zeenat Aman Ashok Kumar,,
348,,Harry von Meter Eugenie Forde Vivian Rich,,
349,,Guy Madison,La Battaglia dell'ultimo panzer,"Giuseppe Chiarolla
Giuliana Garavaglia
Josu00E9 Luis Merino"
350,,Leo Grillo Katherine Marie Heigl Tom Sizemore,Zyzzyx Rd.,John Penney
351,,Shyama K. N. Singh Mumtaz Begum Jehan Dehlavi Mumtaz Begum Bharat Bhushan,,
352,,John Martin Feeney,The Trail of Hate,John Martin Feeney
353,,John Meillon Terry Camilleri,The Cars That Ate Paris,Peter Lindsay Weir
354,,Michael Jackson Ola Ray,,Michael Jackson John David Landis
355,,Tito Alonso,,Israel Chas de Cruz Raimundo Calcagno
356,,Balraj Dutt,Yaadein,Akhtar-Ul-Iman
357,,Joseph Angelo (Joe) D'allesandro Cathryn Harrison,Black Moon,Joyce Buñuel Ghislain Uhry
358,,Henry DeWitt Carey II,The Tenderfoot's Money,Stanner E.V. Taylor
359,,Kid n' Play Full Force Robin Harris,House Party,Reginald Hudlin
360,,Gregory Walcott James Griffith Constance Smith Larry Dobkin Richard Boone Henry Herman McKinnies Jr. Richard Donald Crenna Richard Widmark Warren Stevens,,"Harry Kleiner
(story)
Art Cohn"
361,,Emily Barclay Miranda Otto David Matthew Macfadyen,In My Father's Den,Brad McGann Maurice Gee
362,,Archibald Alec Leach Irene Marie Dunn Randolph Scott Gail Patrick,,Samuel and Bella Spewack Thomas Leo McCarey
363,,Irfan Khan Madhavan Ranganathan Kay Kay Menon Soha Ali Khan Paresh Rawal,,Yogesh Vinayak Joshi
364,,Salman Khan Shilpa Shetty Abhishek Bachchan,Phir Milenge,Atul Sabharwal
365,,Sangeetha Silambarasan Vadivelu Meera Chopra Vedhika,,
366,,Kenneth Davitian Alan Wolf Arkin Steven John Carell Anne Jacqueline Hathaway Terence Stamp Dwayne Johnson William James Murray Masayori Oka,Get Smart,"Tom J. Astle
Matt Ember"
367,,Blaise Beckjord Joe Schwartz Michael Ronning Cedric Gracia Kris Holm Trevor Snowdin Brian Lopes Chris Kovarik Chris O'Driscoll Richie Schley Gary Houseman John Cowan (Mountain-Biker) Josh Bender Mike King (Mountain-Biker) Bobby Root Robbie Bourdon,,Derek Westerlund
368,,Cipe Lincovsky Liv Johanne Ullmann,,Agnieszka Holland Osvaldo Bayer Jeanine Meerapfel Alcides Chiesa
369,,Jonathan Lee Miller Ken Stott David Williams Robert Carlyle Matthew Richard Lucas Alan Cumming Tommy Flanagan Michael John Gambon Liv Rundgren,Plunkett & Macleane,
370,,Ursula Andress Stanley Baker David Warner (actor),Perfect Friday,Anthony Greville-Bell Conrad Scott Forbes
371,,Emperor Penguin,Academy Award for Documentary Feature March of the Penguins,Michel Fessler Luc Jacquet
372,,Christopher Sarandon James Broderick John Holland Cazale Charles Durning Alfredo James Pacino,Dog Day Afternoon,Frank Pierson P. F. Kluge
373,,Oliver Parniere Delphine Zentout,,"Catherine Breillat
Roger Salloch"
374,,Craig Sheffer Jason Scott Lee Diane Neal Alexandra Wescourt Rutger Oelsen Hauer,,Joel Soisson
375,,Hoot Gibson,Masked,Hope Loring Harvey Gates
376,,,Under Cover Man,John Wilstach
377,,Bhuvaneswari Farjana Rishi Mumaith Khan Kiran Rathod Ali Mallikharjuna Rao M. S. Narayana Brahmanandam Nagendra Babu Gadde Rajendra Prasad L. B. Sriram Tanikella Bharani Venu Madhav,,
378,,Deborah Jo Hunter William Forsythe (actor) Jeffrey Alan Combs,,Boaz Davidson Kenneth M. Badish
379,,,,Andrew Bampfield
380,,Louis Feinberg Symona Boniface Jerome Lester Horwitz Al Thompson Harry Moses Horwitz Judy Malcolm Doris Houck Ethelreda Leopold,,Felix Adler
381,,"Jean Stapleton James Jonah Cummings Donal Gibson Linda Hunt David Ogden Stiers Russell Means Irene Bedard William George Zane, Jr.",,"Allen Estrin
Cindy Marcus
Flip Kobler"
382,,"Tommy Lee Jones Donald McNichol Sutherland James Scott Bumgarner Clinton Eastwood, Jr.",Space Cowboys,Ken Kaufman
383,,Michael Hordern Derek Jules Gaspard Ulric Niven van den Bogarde Jon Whiteley Cyril Cusack,,A. J. Cronin Lesley Storm
384,,Mariel Hadley Hemingway Colin Firth Iréne Jacobs,,Mike Binder
385,,Birger Malmsten Stig Olin Maj-Britt Nilsson,Till glu00E4dje,Ingmar Bergman
386,,Virginia Clara Jones Tom D'Andrea Zachary Scott Helen Westcott Dorothy Malone,,David Lang
387,,Dorothy Stickney Cornelia Otis Skinner Alfred Reginald Jones Ruth Carol Hussey Gail Russell George William Crisp,,Dorothy Macardle Dodie Smith Frank Partos
388,,Lily Claudette Chauchoin Robert Bushnell Ryan Jane Cowl,The Secret Fury,Lionel Houser Jack Leonard James O'Hanlon
389,,Krishna Bhanji Patricia Davies Clarkson John Peter Sarsgaard Penu00E9lope Cruz Su00E1nchez Sonja Bennett Debbie Harry Dennis Lee Hopper,Elegy,Nicholas Meyer Phillip Roth
390,,Catherine Louise Sagal John William DiMaggio Billy West (voice actor) Tress MacNeille Maurice LaMarche,Futurama: Bender's Big Score,David X. Cohen Ken Keeler
391,,"Ivo Livi, born of Catholic peasants in Italy",,Henri Verneuil Henri Decoin
392,,Emraan Hashmi Tusshar Kapoor Isha Sharvani Paresh Rawal Tanushree Dutta,,
393,,Willa O'Neill,Scarfies,Duncan Sarkies & Robert Sarkies
394,,Lucas Puig Brandon Biebel Eric Koston Marc Johnson (skateboarder) Rob Welsh Guy Mariano Nick Jensen JB Gillet Mike Mo Capaldi Cairo Foster Jesus Fernandez (skateboarder) Danny Brady Rick Howard Alex Olson Jeff Lenoce Scott Johnston JJ Rousseau Anthony Pappalardo Mike Caroll,,
395,,Mel Blanc,,Tedd Pierce
396,,Donald McNichol Sutherland Karen Blanche Ziegler Oliver Burgess Meredith William Atherton,The Day of the Locust,Waldo Salt
397,,Bruce Spence,Where the Green Ants Dream,Werner Stipetiu0107 Bob Ellis
398,,Edward Glen Mara Elizabeth Wilson Cody McMains Peter Henry Fonda Russell Means Michael E. Rodgers Alexander Rae Baldwin III Kevin Frank Britt Allcroft Colm Feore Linda Ballantyne Neil Crone Susan Roman Didi Conn,,Britt Allcroft
399,,Stina Ekblad Erland Josephson,Amorosa,Mai Zetterling
400,,Donald Sumpter Mary Collinson Opal Butterfly Flanagan (model) Madeleine Collinson,,Derek Ford Stanley  Long
401,,Ferrah Leni Fawcett Rex Reed Jo Raquel Tejada John Marcellus Huston Mary Jane West,,David Giler Michael Sarne Gore Vidal
402,,Ralph Nathaniel Twisleton-Wykeham Fiennes Angela Bassett Juliette Lewis,Strange Days,Jay Cocks James Francis Cameron
403,,Suhasini Rajaram Naidu Sumanth Parvati Melton,Madhumasam,"Chandra Siddhartha (screenplay) 
 Satyanand (dialogue) 
 Balabhadrapatruni Ramani (novel)"
404,,Salman Khan Shilpa Shetty Sanjay Dutt Raveena Tandon,Dus,Mukul S. Anand
405,,Tak Sakaguchi,,Ryuhei Kitamura Yudai Yamaguchi
406,,Sebastian Cabot Leo Gordon Strother Martin George Montgomery Letz Diane Brewster,,Leo Gordon
407,,Anula Karunatilleke Punya Heendeniya Tony Ranasinghe,,P. K. D. Seneviratne
408,,Giuseppe Ieracitano Valentina Scalici Enrico Lo Verso,Il Ladro di bambini Grand Prix (Cannes Film Festival),Gianni Amelio Stefano Rulli Sandro Petraglia Giorgia Cecere
409,,Susan Kingsley Rainbow Harvest Alyssa Jayne Milano Danny Aiello Roxanne Hart Nell Barry Sarah Boyd,,Marisa Silver
410,,Jessica Dunphy,Dark Harvest,Paul Moore
411,,Charlotte Stewart Marvin John Nance Jeanne Bates,Eraserhead,David Keith Lynch
412,,Sangeeta Sabiha Tariq Aziz (actor) Shahid (actor) Talish,,Hasan Imtisal
413,,Charles Dennis Buchinsky Jill Ireland Robert Selden Duvall,,Eliot Asinof Elliott Baker
414,,Francis Xavier Aloysius James Jeremiah Keenan Wynn John Allen Astin Peter Alexander Ustinov Pamela Tiffin Jonathan Winters Harry Bratsburg,,Jim Lehrer
415,,David Essex Adam Faith,Stardust,Ray Connolly
416,,Timothy Francis Robbins Fred Ward Rosalie Anderson MacDowell Bruce Davison Julie Anne Smith,Short Cuts Golden Lion,Robert Bernard Altman Frank Barhydt Raymond Carver
417,,,Going Upriver,Douglas Brinkley
418,,John Saxon Michael Dante David Opatoshu Janice Lynde Lynda Day George,Beyond Evil,"David Baughn
Herb Freed
Paul Ross"
419,,Ernest Frederick McIntyre Bickel Cedric Webster Hardwicke Charles Laughton Rochelle Hudson,,W. P. Lipscomb
420,,Kitty Bradbury Joseph Francis Keaton Joseph Frank Keaton VI Craig Ward Natalie Talmadge Monte Collins Buster Keaton Jr. Ralph Bushman Joe Roberts,,Clyde Bruckman
421,,Isabelle Breitman Guillaume Canet,Narco,"Alain Attal (story)
Philippe Lefebvre (story)
Gilles Lellouche"
422,,,Renegades,André Armandy Jules Furthman
423,,Pran Sadhana Shivdasani Shammi Kapoor,,
424,,Vladimir Vujoviu0107 Cecile Aubrey,Golden Lion,Henri-Georges Clouzot Jean Ferry
425,,Caroline Cellier Jean Yanne Michel Duchaussoy,,Nicholas Blake Paul Gégauff Claude Chabrol
426,,Maurice Evans (actor) Janet Cole James Daly (actor) John Charles Carter Roderick Andrew Anthony Jude McDowall James Whitmore Linda Harrison,Planet of the Apes,Pierre Boulle Michael Wilson (writer) Rod Serling
427,,Ralf Möller Michael Paré Will Sanderson,,Uwe Boll
428,,Sergi López Juan Moreno y Herrera Jimu00E9nez Juliette Binoche,Jet Lag,"Daniu00E8le Thompson
Christophe Thompson"
429,,Georgianna Carter John Joseph Nicholson Robert Bean,,Ann Porter Marion Rothman
430,,Angus Macfadyen Irving Rameses Rhames Freddie Prinze Jr. Roselyn Sanchez,,Keoni Waxman
431,,Heidi Van Lier as Heather,,Heidi Van Lier
432,,Andrés Pajares Gabino Diego Carmen Garcu00EDa Maura,,José Sanchís Sinisterra Carlos Saura Rafael Azcona
